nohup: 入力を無視します
GPU name: NVIDIA GeForce RTX 3090, gpu_id: 0
cuda
{'nb_nodes': 20, 'bsz': 512, 'dim_emb': 128, 'dim_ff': 512, 'dim_input_nodes': 2, 'nb_layers_encoder': 6, 'nb_layers_decoder': 2, 'nb_heads': 8, 'nb_epochs': 10000, 'nb_batch_per_epoch': 2500, 'nb_batch_eval': 5, 'gpu_id': '0', 'lr': 0.0001, 'tol': 0.001, 'batchnorm': True, 'max_len_PE': 1000}
nb of nodes : 20
1
{'nb_nodes': 20, 'bsz': 512, 'dim_emb': 128, 'dim_ff': 512, 'dim_input_nodes': 2, 'nb_layers_encoder': 6, 'nb_layers_decoder': 2, 'nb_heads': 8, 'nb_epochs': 10000, 'nb_batch_per_epoch': 2500, 'nb_batch_eval': 5, 'gpu_id': '0', 'lr': 0.0001, 'tol': 0.001, 'batchnorm': True, 'max_len_PE': 1000}
mkdir: ディレクトリ `logs' を作成できません: ファイルが存在します

Epoch: 0, epoch time: 6.545min, tot time: 0.005day, L_train: 4.123, L_base: 6.245, L_test: 4.114, gap_train(%): -100.000, update: True
Epoch: 1, epoch time: 6.575min, tot time: 0.009day, L_train: 4.009, L_base: 4.123, L_test: 4.001, gap_train(%): -100.000, update: True
Epoch: 2, epoch time: 6.540min, tot time: 0.014day, L_train: 3.963, L_base: 4.003, L_test: 3.960, gap_train(%): -100.000, update: True
Epoch: 3, epoch time: 6.533min, tot time: 0.018day, L_train: 3.942, L_base: 3.962, L_test: 3.945, gap_train(%): -100.000, update: True
Epoch: 4, epoch time: 6.544min, tot time: 0.023day, L_train: 3.935, L_base: 3.942, L_test: 3.935, gap_train(%): -100.000, update: True
Epoch: 5, epoch time: 6.583min, tot time: 0.027day, L_train: 3.936, L_base: 3.940, L_test: 3.933, gap_train(%): -100.000, update: True
Epoch: 6, epoch time: 6.599min, tot time: 0.032day, L_train: 3.926, L_base: 3.936, L_test: 3.926, gap_train(%): -100.000, update: True
Epoch: 7, epoch time: 6.590min, tot time: 0.037day, L_train: 3.920, L_base: 3.924, L_test: 3.918, gap_train(%): -100.000, update: True
Epoch: 8, epoch time: 6.504min, tot time: 0.041day, L_train: 3.922, L_base: 3.921, L_test: 3.918, gap_train(%): -100.000, update: False
Epoch: 9, epoch time: 6.567min, tot time: 0.046day, L_train: 3.917, L_base: 3.920, L_test: 3.911, gap_train(%): -100.000, update: True
Epoch: 10, epoch time: 6.458min, tot time: 0.050day, L_train: 3.911, L_base: 3.914, L_test: 3.909, gap_train(%): -100.000, update: True
Epoch: 11, epoch time: 6.459min, tot time: 0.055day, L_train: 3.900, L_base: 3.904, L_test: 3.905, gap_train(%): -100.000, update: True
Epoch: 12, epoch time: 6.462min, tot time: 0.059day, L_train: 3.907, L_base: 3.906, L_test: 3.905, gap_train(%): -100.000, update: False
Epoch: 13, epoch time: 6.531min, tot time: 0.064day, L_train: 3.916, L_base: 3.915, L_test: 3.905, gap_train(%): -100.000, update: False
Epoch: 14, epoch time: 6.586min, tot time: 0.068day, L_train: 3.918, L_base: 3.918, L_test: 3.905, gap_train(%): -100.000, update: False
Epoch: 15, epoch time: 6.569min, tot time: 0.073day, L_train: 3.905, L_base: 3.912, L_test: 3.900, gap_train(%): -100.000, update: True
Epoch: 16, epoch time: 6.452min, tot time: 0.077day, L_train: 3.903, L_base: 3.900, L_test: 3.900, gap_train(%): -100.000, update: False
Epoch: 17, epoch time: 6.448min, tot time: 0.082day, L_train: 3.898, L_base: 3.900, L_test: 3.900, gap_train(%): -100.000, update: True
Epoch: 18, epoch time: 6.449min, tot time: 0.086day, L_train: 3.908, L_base: 3.909, L_test: 3.898, gap_train(%): -100.000, update: True
Epoch: 19, epoch time: 6.549min, tot time: 0.091day, L_train: 3.900, L_base: 3.901, L_test: 3.898, gap_train(%): -100.000, update: True
Epoch: 20, epoch time: 6.583min, tot time: 0.095day, L_train: 3.889, L_base: 3.892, L_test: 3.898, gap_train(%): -100.000, update: True
Epoch: 21, epoch time: 6.583min, tot time: 0.100day, L_train: 3.906, L_base: 3.908, L_test: 3.895, gap_train(%): -100.000, update: True
Epoch: 22, epoch time: 6.587min, tot time: 0.104day, L_train: 3.896, L_base: 3.899, L_test: 3.892, gap_train(%): -100.000, update: True
Epoch: 23, epoch time: 6.583min, tot time: 0.109day, L_train: 3.895, L_base: 3.896, L_test: 3.892, gap_train(%): -100.000, update: False
Epoch: 24, epoch time: 6.582min, tot time: 0.114day, L_train: 3.891, L_base: 3.892, L_test: 3.892, gap_train(%): -100.000, update: False
Epoch: 25, epoch time: 6.544min, tot time: 0.118day, L_train: 3.891, L_base: 3.892, L_test: 3.888, gap_train(%): -100.000, update: True
Epoch: 26, epoch time: 6.525min, tot time: 0.123day, L_train: 3.899, L_base: 3.899, L_test: 3.888, gap_train(%): -100.000, update: False
Epoch: 27, epoch time: 6.533min, tot time: 0.127day, L_train: 3.892, L_base: 3.892, L_test: 3.888, gap_train(%): -100.000, update: False
Epoch: 28, epoch time: 6.531min, tot time: 0.132day, L_train: 3.895, L_base: 3.898, L_test: 3.888, gap_train(%): -100.000, update: True
Epoch: 29, epoch time: 6.531min, tot time: 0.136day, L_train: 3.879, L_base: 3.879, L_test: 3.888, gap_train(%): -100.000, update: False
Epoch: 30, epoch time: 6.537min, tot time: 0.141day, L_train: 3.893, L_base: 3.892, L_test: 3.888, gap_train(%): -100.000, update: False
